key,label,params,mse,mae,model_bytes,infer_ms,train_time_s,epochs,deployable
rf,Random Forest,-,1.0061971249344779,0.8651073656339436,2592895,31.14444949999961,0.1766330000009475,-,False
ridge,Ridge,-,1.0300521850585938,0.8738988637924194,609,0.04647839999961434,0.001144699999713339,-,False
dense,Dense (MLP),910,1.0485581159591675,0.8853164911270142,5948,0.0018559999989520293,4.638493600001311,37,True
gb,Gradient Boost,-,1.0804017308281395,0.8782744830381914,1770001,0.4929936999997154,0.9043903000001592,-,False
knn,KNN,-,1.0919032296191695,0.88197464553605,56531,11.700994799999535,0.0002868000010494143,-,False
svr,SVR (RBF),-,1.3487987517467421,0.9630607394531301,213824,0.2964434000004985,0.05420150000099966,-,False
